#,Country,Population 2026,Land Area (KmÂ²),Density (P/KmÂ²)
1,Afghanistan,45047069,652860,69
2,Albania,2751025,27400,100
3,Algeria,48028334,2381740,20
4,Andorra,83753,470,178
5,Angola,40215179,1246700,32
6,Antigua and Barbuda,94626,440,215
7,Argentina,46003734,2736690,17
8,Armenia,2930915,28470,103
9,Australia,27227096,7682300,4
10,Austria,9107266,82409,111
11,Azerbaijan,10454855,82658,126
12,Bahamas,404628,10010,40
13,Bahrain,1675572,760,2205
14,Bangladesh,177818044,130170,1366
15,Barbados,282724,430,657
16,Belarus,8937018,202910,44
17,Belgium,11774642,30280,389
18,Belize,428644,22810,19
19,Benin,15170419,112760,135
20,Bhutan,802214,38117,21
21,Bolivia,12749291,1083300,12
22,Bosnia and Herzegovina,3114242,51000,61
23,Botswana,2603388,566730,5
24,Brazil,213562666,8358140,26
25,Brunei,469775,5270,89
26,Bulgaria,6667659,108560,61
27,Burkina Faso,24601700,273600,90
28,Burundi,14729157,25680,574
29,Cabo Verde,529630,4030,131
30,Cambodia,18051219,176520,102
31,Cameroon,30640817,472710,65
32,Canada,40467728,9093510,4
33,Central African Republic,5698984,622980,9
34,Chad,21560380,1259200,17
35,Chile,19945850,743532,27
36,China,1412914089,9388211,150
37,Colombia,53936226,1109500,49
38,Comoros,899010,1861,483
39,Congo (Congo-Brazzaville),6637785,341500,19
40,Costa Rica,5174789,51060,101
41,CÃ´te d'Ivoire,33494346,318000,105
42,Croatia,3822345,55960,68
43,Cuba,10892659,106440,102
44,Cyprus,1382334,9240,150
45,Czechia (Czech Republic),10527781,77240,136
46,Democratic Republic of the Congo,116452162,2267050,51
47,Denmark,6023520,42430,142
48,Djibouti,1199459,23180,52
49,Dominica,65511,750,87
50,Dominican Republic,11609500,48320,240
51,Ecuador,18444506,248360,74
52,Egypt,120101175,995450,121
53,El Salvador,6391253,20720,308
54,Equatorial Guinea,1984468,28050,71
55,Eritrea,3682669,101000,36
56,Estonia,1331062,42390,31
57,"Eswatini (fmr. """"Swaziland"""")",1269859,17200,74
58,Ethiopia,138902185,1000000,139
59,Fiji,937282,18270,51
60,Finland,5621739,303890,18
61,France,66746401,547557,122
62,Gabon,2647399,257670,10
63,Gambia,2884079,10120,285
64,Georgia,3804642,69490,55
65,Germany,83644258,348560,240
66,Ghana,35697557,227540,157
67,Greece,9897115,128900,77
68,Grenada,117362,340,345
69,Guatemala,18967978,107160,177
70,Guinea,15441993,245720,63
71,Guinea-Bissau,2297808,28120,82
72,Guyana,840890,196850,4
73,Haiti,12037506,27560,437
